time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
189791,0,0,0,0,0,6912,87,3000
189825,0,0,0,0,0,6911,87,3001
189883,0,0,0,0,0,6910,87,3002
189924,0,0,0,0,0,6909,87,3003
189943,0,0,0,0,0,6908,87,3004
190101,0,0,0,0,0,6907,87,3005
190223,0,0,0,0,0,6906,87,3006
190544,0,0,0,0,0,6905,87,3007
190581,0,0,0,0,0,6904,87,3008
190894,0,0,0,0,0,6903,87,3009
190934,0,0,0,0,0,6902,87,3010
190954,0,0,0,0,0,6901,87,3011
191010,0,0,0,0,0,6900,87,3012
191044,0,0,0,0,0,6899,87,3013
191069,0,0,0,0,0,6898,87,3014
191075,0,0,0,0,0,6897,87,3015
191076,0,0,0,0,0,6896,87,3016
191311,0,0,0,0,0,6895,87,3017
191347,0,0,0,0,0,6894,87,3018
191365,0,0,0,0,0,6893,87,3019
191493,0,0,0,0,0,6892,87,3020
191544,0,0,0,0,0,6891,87,3021
191598,0,0,0,0,0,6890,87,3022
191630,0,0,0,0,0,6889,87,3023
191639,0,0,0,0,0,6888,87,3024
191644,0,0,0,0,0,6887,87,3025
191702,0,0,0,0,0,6886,87,3026
191720,0,0,0,0,0,6885,87,3027
191736,0,0,0,0,0,6884,87,3028
191769,0,0,0,0,0,6883,87,3029
191775,0,0,0,0,0,6882,87,3030
191783,0,0,0,0,0,6881,87,3031
191869,0,0,0,0,0,6880,87,3032
192067,0,0,0,0,0,6879,87,3033
192083,0,0,0,0,0,6878,87,3034
192202,0,0,0,0,0,6877,87,3035
192353,0,0,0,0,0,6876,87,3036
192369,0,0,0,0,0,6875,87,3037
192404,0,0,0,0,0,6874,87,3038
192410,0,0,0,0,0,6873,87,3039
192512,0,0,0,0,0,6872,87,3040
192531,0,0,0,0,0,6871,87,3041
192566,0,0,0,0,0,6870,87,3042
192666,0,0,0,0,0,6869,87,3043
192865,0,0,0,0,0,6868,87,3044
192961,0,0,0,0,0,6867,87,3045
192995,0,0,0,0,0,6866,87,3046
193028,0,0,0,0,0,6865,87,3047
193268,0,0,0,0,0,6864,87,3048
193276,0,0,0,0,0,6863,87,3049
193443,0,0,0,0,0,6855,94,3050
193593,0,0,0,0,0,6854,94,3051
194286,0,0,0,0,0,6853,94,3052
194590,0,0,0,0,0,6852,94,3053
194623,0,0,0,0,0,6851,94,3054
194640,0,0,0,0,0,6850,94,3055
194683,0,0,0,0,0,6849,94,3056
194752,0,0,0,0,0,6848,94,3057
194820,0,0,0,0,0,6847,94,3058
194876,0,0,0,0,0,6846,94,3059
194962,0,0,0,0,0,6845,94,3060
195004,0,0,0,0,0,6844,94,3061
195111,0,0,0,0,0,6843,94,3062
195112,0,0,0,0,0,6842,94,3063
195141,0,0,0,0,0,6841,94,3064
195168,0,0,0,0,0,6840,94,3065
195257,0,0,0,0,0,6839,94,3066
195405,0,0,0,0,0,6838,94,3067
195420,0,0,0,0,0,6837,94,3068
195550,0,0,0,0,0,6836,94,3069
195594,0,0,0,0,0,6835,94,3070
195623,0,0,0,0,0,6834,94,3071
195692,0,0,0,0,0,6833,94,3072
195774,0,0,0,0,0,6832,94,3073
195850,0,0,0,0,0,6831,94,3074
195878,0,0,0,0,0,6829,95,3075
195926,0,0,0,0,0,6828,95,3076
196033,0,0,0,0,0,6827,95,3077
196098,0,0,0,0,0,6826,95,3078
196121,0,0,0,0,0,6825,95,3079
196159,0,0,0,0,0,6824,95,3080
196378,0,0,0,0,0,6823,95,3081
196406,0,0,0,0,0,6822,95,3082
196425,0,0,0,0,0,6821,95,3083
196687,0,0,0,0,0,6813,102,3084
196797,0,0,0,0,0,6812,102,3085
196815,0,0,0,0,0,6811,102,3086
196869,0,0,0,0,0,6810,102,3087
196878,0,0,0,0,0,6809,102,3088
196956,0,0,0,0,0,6808,102,3089
197074,0,0,0,0,0,6807,102,3090
197134,0,0,0,0,0,6806,102,3091
197154,0,0,0,0,0,6805,102,3092
197210,0,0,0,0,0,6804,102,3093
197360,0,0,0,0,0,6803,102,3094
197464,0,0,0,0,0,6802,102,3095
197484,0,0,0,0,0,6801,102,3096
197617,0,0,0,0,0,6800,102,3097
197619,0,0,0,0,0,6799,102,3098
197640,0,0,0,0,0,6798,102,3099
197876,0,0,0,0,0,6797,102,3100
197877,0,0,0,0,0,6795,103,3101
197880,0,0,0,0,0,6794,103,3102
198115,0,0,0,0,0,6793,103,3103
198151,0,0,0,0,0,6792,103,3104
198194,0,0,0,0,0,6791,103,3105
198196,0,0,0,0,0,6790,103,3106
198216,0,0,0,0,0,6789,103,3107
198306,0,0,0,0,0,6788,103,3108
198317,0,0,0,0,0,6787,103,3109
198490,0,0,0,0,0,6786,103,3110
198630,0,0,0,0,0,6785,103,3111
198696,0,0,0,0,0,6784,103,3112
198780,0,0,0,0,0,6783,103,3113
198781,0,0,0,0,0,6782,103,3114
198806,0,0,0,0,0,6782,102,3115
198838,0,0,0,0,0,6780,103,3116
198960,0,0,0,0,0,6779,103,3117
199110,0,0,0,0,0,6778,103,3118
199114,0,0,0,0,0,6777,103,3119
199159,0,0,0,0,0,6776,103,3120
199189,0,0,0,0,0,6775,103,3121
199237,0,0,0,0,0,6774,103,3122
199253,0,0,0,0,0,6773,103,3123
199259,0,0,0,0,0,6772,103,3124
199281,0,0,0,0,0,6771,103,3125
199300,0,0,0,0,0,6770,103,3126
199303,0,0,0,0,0,6769,103,3127
199308,0,0,0,0,0,6768,103,3128
199324,0,0,0,0,0,6770,100,3129
199337,0,0,0,0,0,6769,100,3130
199379,0,0,0,0,0,6768,100,3131
199390,0,0,0,0,0,6767,100,3132
199394,0,0,0,0,0,6769,97,3133
199409,0,0,0,0,0,6768,97,3134
199435,0,0,0,0,0,6764,100,3135
199449,0,0,0,0,0,6763,100,3136
199452,0,0,0,0,0,6762,100,3137
199463,0,0,0,0,0,6758,103,3138
199483,0,0,0,0,0,6757,103,3139
199501,0,0,0,0,0,6756,103,3140
199631,0,0,0,0,0,6752,106,3141
199876,0,0,0,0,0,6751,106,3142
199959,0,0,0,0,0,6750,106,3143
